LexToken(OPEN_TAG,'<?php',1,1)
LexToken(ID,'$var1',1,7)
LexToken(PLUS,'+',1,13)
LexToken(INTEGER,1,1,15)
LexToken(SEMICOLON,';',1,16)
LexToken(ID,'$var2',1,18)
LexToken(EQUALS,'=',1,24)
LexToken(STRING,'"Hola"',1,26)
LexToken(SEMICOLON,';',1,32)
LexToken(ID,'$var2',1,34)
LexToken(PLUS_EQUALS,'+=',1,40)
LexToken(INTEGER,2,1,43)
LexToken(SEMICOLON,';',1,44)
LexToken(ID,'$var2',1,46)
LexToken(PLUS_EQUALS,'+=',1,52)
LexToken(STRING,'"mundo"',1,55)
LexToken(SEMICOLON,';',1,62)
LexToken(ID,'$var2',1,64)
LexToken(PLUS_PLUS,'++',1,69)
LexToken(SEMICOLON,';',1,71)
LexToken(STRING,'"cadena"',1,73)
LexToken(PLUS,'+',1,82)
LexToken(INTEGER,3,1,84)
LexToken(SEMICOLON,';',1,85)
LexToken(ID,'$var2',1,87)
LexToken(LEFT_BRACKET,'[',1,92)
LexToken(INTEGER,1,1,93)
LexToken(RIGHT_BRACKET,']',1,94)
LexToken(SEMICOLON,';',1,95)
LexToken(ID,'$var2',1,97)
LexToken(LEFT_BRACKET,'[',1,102)
LexToken(RIGHT_BRACKET,']',1,103)
LexToken(EQUALS,'=',1,105)
LexToken(INTEGER,6,1,107)
LexToken(SEMICOLON,';',1,108)
LexToken(ID,'$var2',1,110)
LexToken(LEFT_BRACKET,'[',1,115)
LexToken(INTEGER,1,1,116)
LexToken(RIGHT_BRACKET,']',1,117)
LexToken(EQUALS,'=',1,119)
LexToken(INTEGER,7,1,121)
LexToken(SEMICOLON,';',1,122)
LexToken(UNSET,'unset',1,124)
LexToken(LEFT_PAREN,'(',1,129)
LexToken(ID,'$var2',1,130)
LexToken(LEFT_BRACKET,'[',1,135)
LexToken(INTEGER,1,1,136)
LexToken(RIGHT_BRACKET,']',1,137)
LexToken(RIGHT_PAREN,')',1,138)
LexToken(SEMICOLON,';',1,139)
LexToken(COUNT,'count',1,141)
LexToken(LEFT_PAREN,'(',1,146)
LexToken(ID,'$var2',1,147)
LexToken(RIGHT_PAREN,')',1,152)
LexToken(SEMICOLON,';',1,153)
LexToken(ECHO,'echo',1,155)
LexToken(NAME,'saludar',1,160)
LexToken(LEFT_PAREN,'(',1,167)
LexToken(RIGHT_PAREN,')',1,168)
LexToken(SEMICOLON,';',1,169)
LexToken(FUNCTION,'function',1,171)
LexToken(NAME,'saludar',1,180)
LexToken(LEFT_PAREN,'(',1,187)
LexToken(RIGHT_PAREN,')',1,188)
LexToken(LEFT_BRACE,'{',1,190)
LexToken(RETURN,'return',1,196)
LexToken(STRING,'"Hola"',1,203)
LexToken(SEMICOLON,';',1,209)
LexToken(RIGHT_BRACE,'}',1,211)
LexToken(FUNCTION,'function',1,213)
LexToken(NAME,'saludar',1,222)
LexToken(LEFT_PAREN,'(',1,229)
LexToken(RIGHT_PAREN,')',1,230)
LexToken(LEFT_BRACE,'{',1,232)
LexToken(RETURN,'return',1,238)
LexToken(STRING,'"Hola mundo"',1,245)
LexToken(SEMICOLON,';',1,257)
LexToken(RIGHT_BRACE,'}',1,259)
LexToken(ECHO,'echo',1,261)
LexToken(NAME,'saludar',1,266)
LexToken(LEFT_PAREN,'(',1,273)
LexToken(INTEGER,5,1,274)
LexToken(RIGHT_PAREN,')',1,275)
LexToken(SEMICOLON,';',1,276)
LexToken(ID,'$lista',1,278)
LexToken(EQUALS,'=',1,285)
LexToken(ARRAY,'array',1,287)
LexToken(LEFT_PAREN,'(',1,292)
LexToken(STRING,'"1"',1,293)
LexToken(KEY_VALUE,'=>',1,297)
LexToken(INTEGER,2,1,300)
LexToken(COMMA,',',1,301)
LexToken(INTEGER,2,1,303)
LexToken(COMMA,',',1,304)
LexToken(INTEGER,3,1,306)
LexToken(RIGHT_PAREN,')',1,307)
LexToken(SEMICOLON,';',1,308)
LexToken(ID,'$lista',1,310)
LexToken(LEFT_BRACKET,'[',1,316)
LexToken(STRING,'"hola"',1,317)
LexToken(RIGHT_BRACKET,']',1,323)
LexToken(SEMICOLON,';',1,324)
LexToken(ID,'$lista',1,326)
LexToken(LEFT_BRACKET,'[',1,332)
LexToken(INTEGER,3,1,333)
LexToken(RIGHT_BRACKET,']',1,334)
LexToken(SEMICOLON,';',1,335)
LexToken(CLOSE_TAG,'?>',1,337)
