LexToken(PHP_OPEN_TAG,'<?php',1,1)
LexToken(ONE_LINE_COMMENT,'// Declaración de variables ',1,9)
LexToken(ID,'$name',1,39)
LexToken(ASSIGMENT_OP,'=',1,45)
LexToken(STRING,'"Juan"',1,47)
LexToken(DELIMITER,';',1,53)
LexToken(ID,'$age',1,57)
LexToken(ASSIGMENT_OP,'=',1,62)
LexToken(INTEGER,20,1,64)
LexToken(DELIMITER,';',1,66)
LexToken(ID,'$isStudent',1,70)
LexToken(ASSIGMENT_OP,'=',1,81)
LexToken(TRUE,'true',1,83)
LexToken(DELIMITER,';',1,87)
LexToken(ONE_LINE_COMMENT,'// Función simple ',1,94)
LexToken(FUNCTION,'function',1,114)
LexToken(NAME,'greet',1,123)
LexToken(DELIMITER,'(',1,128)
LexToken(ID,'$name',1,129)
LexToken(DELIMITER,')',1,134)
LexToken(DELIMITER,'{',1,136)
LexToken(RETURN,'return',1,144)
LexToken(STRING,'"Hola, "',1,151)
LexToken(CONCAT_STRING,'.',1,160)
LexToken(ID,'$name',1,162)
LexToken(CONCAT_STRING,'.',1,168)
LexToken(STRING,'"!"',1,170)
LexToken(DELIMITER,';',1,173)
LexToken(DELIMITER,'}',1,177)
LexToken(ONE_LINE_COMMENT,'// Llamada a la función ',1,184)
LexToken(ECHO,'echo',1,210)
LexToken(NAME,'greet',1,215)
LexToken(DELIMITER,'(',1,220)
LexToken(ID,'$name',1,221)
LexToken(DELIMITER,')',1,226)
LexToken(CONCAT_STRING,'.',1,228)
LexToken(STRING,'"\n"',1,230)
LexToken(DELIMITER,';',1,233)
LexToken(ONE_LINE_COMMENT,'// Condicional ',1,240)
LexToken(IF,'if',1,257)
LexToken(DELIMITER,'(',1,260)
LexToken(ID,'$age',1,261)
LexToken(GREATER_EQUAL,'>=',1,266)
LexToken(INTEGER,18,1,269)
LexToken(DELIMITER,')',1,271)
LexToken(DELIMITER,'{',1,273)
LexToken(ECHO,'echo',1,281)
LexToken(ID,'$name',1,286)
LexToken(CONCAT_STRING,'.',1,292)
LexToken(STRING,'" es mayor de edad.\n"',1,294)
LexToken(DELIMITER,';',1,315)
LexToken(DELIMITER,'}',1,319)
LexToken(ELSE,'else',1,321)
LexToken(DELIMITER,'{',1,326)
LexToken(ECHO,'echo',1,334)
LexToken(ID,'$name',1,339)
LexToken(CONCAT_STRING,'.',1,345)
LexToken(STRING,'" es menor de edad.\n"',1,347)
LexToken(DELIMITER,';',1,368)
LexToken(DELIMITER,'}',1,372)
LexToken(ONE_LINE_COMMENT,'// Bucle for ',1,379)
LexToken(FOR,'for',1,394)
LexToken(DELIMITER,'(',1,398)
LexToken(ID,'$i',1,399)
LexToken(ASSIGMENT_OP,'=',1,402)
LexToken(INTEGER,0,1,404)
LexToken(DELIMITER,';',1,405)
LexToken(ID,'$i',1,407)
LexToken(LESS_THAN,'<',1,410)
LexToken(INTEGER,5,1,412)
LexToken(DELIMITER,';',1,413)
LexToken(ID,'$i',1,415)
LexToken(ASSIGMENT_OP,'++',1,417)
LexToken(DELIMITER,')',1,419)
LexToken(DELIMITER,'{',1,421)
LexToken(ECHO,'echo',1,429)
LexToken(STRING,'"Número: "',1,434)
LexToken(CONCAT_STRING,'.',1,445)
LexToken(ID,'$i',1,447)
LexToken(CONCAT_STRING,'.',1,450)
LexToken(STRING,'"\n"',1,452)
LexToken(DELIMITER,';',1,455)
LexToken(DELIMITER,'}',1,459)
LexToken(ONE_LINE_COMMENT,'// Declaración de Array ',1,466)
LexToken(ID,'$fruits',1,492)
LexToken(ASSIGMENT_OP,'=',1,500)
