LexToken(PHP_OPEN_TAG,'<?php',1,1)
LexToken(ONE_LINE_COMMENT,'// Declaración de variables ',1,9)
LexToken(ID,'$variable1',1,39)
LexToken(ASSIGMENT_OP,'=',1,50)
LexToken(INTEGER,10,1,52)
LexToken(DELIMITER,';',1,54)
LexToken(ID,'$variable2',1,58)
LexToken(ASSIGMENT_OP,'=',1,69)
LexToken(STRING,'"Hola, mundo!"',1,71)
LexToken(DELIMITER,';',1,85)
LexToken(ID,'$variable3',1,89)
LexToken(ASSIGMENT_OP,'=',1,100)
LexToken(TRUE,'true',1,102)
LexToken(DELIMITER,';',1,106)
LexToken(ONE_LINE_COMMENT,'// Estructura condicional ',1,114)
LexToken(IF,'if',1,142)
LexToken(DELIMITER,'(',1,145)
LexToken(ID,'$variable1',1,146)
LexToken(GREATER_THAN,'>',1,157)
LexToken(INTEGER,5,1,159)
LexToken(DELIMITER,')',1,160)
LexToken(DELIMITER,'{',1,162)
LexToken(ECHO,'echo',1,170)
LexToken(STRING,'"El número es mayor que 5"',1,175)
LexToken(DELIMITER,';',1,201)
LexToken(DELIMITER,'}',1,205)
LexToken(ELSE,'else',1,207)
LexToken(DELIMITER,'{',1,212)
LexToken(ECHO,'echo',1,220)
LexToken(STRING,'"El número es menor o igual que 5"',1,225)
LexToken(DELIMITER,';',1,259)
LexToken(DELIMITER,'}',1,263)
LexToken(ONE_LINE_COMMENT,'// Bucle ',1,271)
LexToken(FOR,'for',1,282)
LexToken(DELIMITER,'(',1,286)
LexToken(ID,'$i',1,287)
LexToken(ASSIGMENT_OP,'=',1,290)
LexToken(INTEGER,0,1,292)
LexToken(DELIMITER,';',1,293)
LexToken(ID,'$i',1,295)
LexToken(LESS_THAN,'<',1,298)
LexToken(INTEGER,5,1,300)
LexToken(DELIMITER,';',1,301)
LexToken(ID,'$i',1,303)
LexToken(ASSIGMENT_OP,'++',1,305)
LexToken(DELIMITER,')',1,307)
LexToken(DELIMITER,'{',1,309)
LexToken(ECHO,'echo',1,317)
LexToken(STRING,'"Iteración número: $i<br>"',1,322)
LexToken(DELIMITER,';',1,348)
LexToken(DELIMITER,'}',1,352)
LexToken(ONE_LINE_COMMENT,'// Operadores aritméticos ',1,360)
LexToken(ID,'$resultado',1,388)
LexToken(ASSIGMENT_OP,'=',1,399)
LexToken(ID,'$variable1',1,401)
LexToken(PLUS,'+',1,412)
LexToken(INTEGER,3,1,414)
LexToken(DELIMITER,';',1,415)
LexToken(ECHO,'echo',1,419)
LexToken(STRING,'"El resultado de la suma es: $resultado"',1,424)
LexToken(DELIMITER,';',1,464)
LexToken(ONE_LINE_COMMENT,'// Operadores lógicos ',1,472)
LexToken(IF,'if',1,496)
LexToken(DELIMITER,'(',1,499)
LexToken(ID,'$variable3',1,500)
LexToken(LOGICAL_AND,'&&',1,511)
LexToken(ID,'$variable1',1,514)
LexToken(ASSIGMENT_OP,'=',1,525)
LexToken(ASSIGMENT_OP,'=',1,526)
LexToken(INTEGER,10,1,528)
LexToken(DELIMITER,')',1,530)
LexToken(DELIMITER,'{',1,532)
LexToken(ECHO,'echo',1,540)
LexToken(STRING,'"La variable3 es verdadera y la variable1 es igual a 10"',1,545)
LexToken(DELIMITER,';',1,601)
LexToken(DELIMITER,'}',1,605)
LexToken(ONE_LINE_COMMENT,'// Asignación ',1,613)
LexToken(ID,'$variable1',1,629)
LexToken(ASSIGMENT_OP,'+=',1,640)
LexToken(INTEGER,5,1,643)
LexToken(DELIMITER,';',1,644)
LexToken(ECHO,'echo',1,648)
LexToken(STRING,'"El valor de variable1 después de la suma es: $variable1"',1,653)
LexToken(DELIMITER,';',1,710)
LexToken(ONE_LINE_COMMENT,'// Arrays ',1,718)
LexToken(ID,'$miArray',1,730)
LexToken(ASSIGMENT_OP,'=',1,739)
LexToken(ARRAY,'array',1,741)
LexToken(DELIMITER,'(',1,746)
LexToken(STRING,'"manzana"',1,747)
LexToken(COMMA,',',1,756)
LexToken(STRING,'"banana"',1,758)
LexToken(COMMA,',',1,766)
LexToken(STRING,'"naranja"',1,768)
LexToken(DELIMITER,')',1,777)
LexToken(DELIMITER,';',1,778)
LexToken(ECHO,'echo',1,782)
LexToken(STRING,'"El segundo elemento del array es: "',1,787)
LexToken(CONCAT_STRING,'.',1,824)
LexToken(ID,'$miArray',1,826)
LexToken(DELIMITER,'[',1,834)
LexToken(INTEGER,1,1,835)
LexToken(DELIMITER,']',1,836)
LexToken(DELIMITER,';',1,837)
LexToken(ONE_LINE_COMMENT,'// Funciones ',1,845)
LexToken(FUNCTION,'function',1,860)
LexToken(NAME,'miFuncion',1,869)
LexToken(DELIMITER,'(',1,878)
LexToken(ID,'$parametro1',1,879)
LexToken(COMMA,',',1,890)
LexToken(ID,'$parametro2',1,892)
LexToken(DELIMITER,')',1,903)
LexToken(DELIMITER,'{',1,905)
LexToken(RETURN,'return',1,913)
LexToken(ID,'$parametro1',1,920)
LexToken(TIMES,'*',1,932)
LexToken(ID,'$parametro2',1,934)
LexToken(DELIMITER,';',1,945)
LexToken(DELIMITER,'}',1,949)
LexToken(ECHO,'echo',1,957)
LexToken(STRING,'"El resultado de la función es: "',1,962)
LexToken(CONCAT_STRING,'.',1,996)
LexToken(NAME,'miFuncion',1,998)
LexToken(DELIMITER,'(',1,1007)
LexToken(INTEGER,2,1,1008)
LexToken(COMMA,',',1,1009)
LexToken(INTEGER,3,1,1011)
LexToken(DELIMITER,')',1,1012)
LexToken(DELIMITER,';',1,1013)
LexToken(PHP_CLOSE_TAG,'?>',1,1016)
