PHP_OPEN_TAG,<?php,1,1
ONE_LINE_COMMENT,// Declaración de variables,1,7
ID,$variable1,1,35
ASSIGMENT_OP,=,1,46
INTEGER,10,1,48
DELIMITER,;,1,50
ID,$variable2,1,52
ASSIGMENT_OP,=,1,63
STRING,"Hola, mundo!",1,65
DELIMITER,;,1,79
ID,$variable3,1,81
ASSIGMENT_OP,=,1,92
TRUE,true,1,94
DELIMITER,;,1,98
ONE_LINE_COMMENT,// Estructura condicional,1,100
IF,if,1,126
DELIMITER,(,1,129
ID,$variable1,1,130
GREATER_THAN,>,1,141
INTEGER,5,1,143
DELIMITER,),1,144
DELIMITER,{,1,146
ECHO,echo,1,149
STRING,"El número es mayor que 5",1,154
DELIMITER,;,1,180
DELIMITER,},1,182
ELSE,else,1,184
DELIMITER,{,1,189
ECHO,echo,1,192
STRING,"El número es menor o igual que 5",1,197
DELIMITER,;,1,231
DELIMITER,},1,233
ONE_LINE_COMMENT,// Bucle,1,235
FOR,for,1,244
DELIMITER,(,1,248
ID,$i,1,249
ASSIGMENT_OP,=,1,252
INTEGER,0,1,254
DELIMITER,;,1,255
ID,$i,1,257
LESS_THAN,<,1,260
INTEGER,5,1,262
DELIMITER,;,1,263
ID,$i,1,265
ASSIGMENT_OP,++,1,267
DELIMITER,),1,269
DELIMITER,{,1,271
ECHO,echo,1,274
STRING,"Iteración número: $i<br>",1,279
DELIMITER,;,1,305
DELIMITER,},1,307
ONE_LINE_COMMENT,// Operadores aritméticos,1,309
ID,$resultado,1,335
ASSIGMENT_OP,=,1,346
ID,$variable1,1,348
PLUS,+,1,359
INTEGER,3,1,361
DELIMITER,;,1,362
ECHO,echo,1,364
STRING,"El resultado de la suma es: $resultado",1,369
DELIMITER,;,1,409
ONE_LINE_COMMENT,// Operadores lógicos,1,411
IF,if,1,433
DELIMITER,(,1,436
ID,$variable3,1,437
LOGICAL_AND,&&,1,448
ID,$variable1,1,451
ASSIGMENT_OP,=,1,462
ASSIGMENT_OP,=,1,463
INTEGER,10,1,465
DELIMITER,),1,467
DELIMITER,{,1,469
ECHO,echo,1,472
STRING,"La variable3 es verdadera y la variable1 es igual a 10",1,477
DELIMITER,;,1,533
DELIMITER,},1,535
ONE_LINE_COMMENT,// Asignación,1,537
ID,$variable1,1,551
ASSIGMENT_OP,+=,1,562
INTEGER,5,1,565
DELIMITER,;,1,566
ECHO,echo,1,568
STRING,"El valor de variable1 después de la suma es: $variable1",1,573
DELIMITER,;,1,630
ONE_LINE_COMMENT,// Arrays,1,632
ID,$miArray,1,642
ASSIGMENT_OP,=,1,651
ARRAY,array,1,653
DELIMITER,(,1,658
STRING,"manzana", "banana", "naranja",1,659
DELIMITER,),1,689
DELIMITER,;,1,690
ECHO,echo,1,692
STRING,"El segundo elemento del array es: ",1,697
ID,$miArray,1,736
DELIMITER,[,1,744
INTEGER,1,1,745
DELIMITER,],1,746
DELIMITER,;,1,747
ONE_LINE_COMMENT,// Funciones,1,749
FUNCTION,function,1,762
NAME,miFuncion,1,771
DELIMITER,(,1,780
ID,$parametro1,1,781
ID,$parametro2,1,794
DELIMITER,),1,805
DELIMITER,{,1,807
RETURN,return,1,810
ID,$parametro1,1,817
TIMES,*,1,829
ID,$parametro2,1,831
DELIMITER,;,1,842
DELIMITER,},1,844
ECHO,echo,1,846
STRING,"El resultado de la función es: ",1,851
NAME,miFuncion,1,887
DELIMITER,(,1,896
INTEGER,2,1,897
INTEGER,3,1,900
DELIMITER,),1,901
DELIMITER,;,1,902
PHP_CLOSE_TAG,?>,1,904
