LexToken(PHP_OPEN_TAG,'<?php',1,1)
LexToken(ONE_LINE_COMMENT,'// Declaración de variables',1,7)
LexToken(ID,'$variable1',1,35)
LexToken(ASSIGMENT_OP,'=',1,46)
LexToken(INTEGER,10,1,48)
LexToken(DELIMITER,';',1,50)
LexToken(ID,'$variable2',1,52)
LexToken(ASSIGMENT_OP,'=',1,63)
LexToken(STRING,'"Hola, mundo!"',1,65)
LexToken(DELIMITER,';',1,79)
LexToken(ID,'$variable3',1,81)
LexToken(ASSIGMENT_OP,'=',1,92)
LexToken(TRUE,'true',1,94)
LexToken(DELIMITER,';',1,98)
LexToken(ONE_LINE_COMMENT,'// Estructura condicional',1,100)
LexToken(IF,'if',1,126)
LexToken(DELIMITER,'(',1,129)
LexToken(ID,'$variable1',1,130)
LexToken(GREATER_THAN,'>',1,141)
LexToken(INTEGER,5,1,143)
LexToken(DELIMITER,')',1,144)
LexToken(DELIMITER,'{',1,146)
LexToken(ECHO,'echo',1,149)
LexToken(STRING,'"El número es mayor que 5"',1,154)
LexToken(DELIMITER,';',1,180)
LexToken(DELIMITER,'}',1,182)
LexToken(ELSE,'else',1,184)
LexToken(DELIMITER,'{',1,189)
LexToken(ECHO,'echo',1,192)
LexToken(STRING,'"El número es menor o igual que 5"',1,197)
LexToken(DELIMITER,';',1,231)
LexToken(DELIMITER,'}',1,233)
LexToken(ONE_LINE_COMMENT,'// Bucle',1,235)
LexToken(FOR,'for',1,244)
LexToken(DELIMITER,'(',1,248)
LexToken(ID,'$i',1,249)
LexToken(ASSIGMENT_OP,'=',1,252)
LexToken(INTEGER,0,1,254)
LexToken(DELIMITER,';',1,255)
LexToken(ID,'$i',1,257)
LexToken(LESS_THAN,'<',1,260)
LexToken(INTEGER,5,1,262)
LexToken(DELIMITER,';',1,263)
LexToken(ID,'$i',1,265)
LexToken(ASSIGMENT_OP,'++',1,267)
LexToken(DELIMITER,')',1,269)
LexToken(DELIMITER,'{',1,271)
LexToken(ECHO,'echo',1,274)
LexToken(STRING,'"Iteración número: $i<br>"',1,279)
LexToken(DELIMITER,';',1,305)
LexToken(DELIMITER,'}',1,307)
LexToken(ONE_LINE_COMMENT,'// Operadores aritméticos',1,309)
LexToken(ID,'$resultado',1,335)
LexToken(ASSIGMENT_OP,'=',1,346)
LexToken(ID,'$variable1',1,348)
LexToken(PLUS,'+',1,359)
LexToken(INTEGER,3,1,361)
LexToken(DELIMITER,';',1,362)
LexToken(ECHO,'echo',1,364)
LexToken(STRING,'"El resultado de la suma es: $resultado"',1,369)
LexToken(DELIMITER,';',1,409)
LexToken(ONE_LINE_COMMENT,'// Operadores lógicos',1,411)
LexToken(IF,'if',1,433)
LexToken(DELIMITER,'(',1,436)
LexToken(ID,'$variable3',1,437)
LexToken(LOGICAL_AND,'&&',1,448)
LexToken(ID,'$variable1',1,451)
LexToken(ASSIGMENT_OP,'=',1,462)
LexToken(ASSIGMENT_OP,'=',1,463)
LexToken(INTEGER,10,1,465)
LexToken(DELIMITER,')',1,467)
LexToken(DELIMITER,'{',1,469)
LexToken(ECHO,'echo',1,472)
LexToken(STRING,'"La variable3 es verdadera y la variable1 es igual a 10"',1,477)
LexToken(DELIMITER,';',1,533)
LexToken(DELIMITER,'}',1,535)
LexToken(ONE_LINE_COMMENT,'// Asignación',1,537)
LexToken(ID,'$variable1',1,551)
LexToken(ASSIGMENT_OP,'+=',1,562)
LexToken(INTEGER,5,1,565)
LexToken(DELIMITER,';',1,566)
LexToken(ECHO,'echo',1,568)
LexToken(STRING,'"El valor de variable1 después de la suma es: $variable1"',1,573)
LexToken(DELIMITER,';',1,630)
LexToken(ONE_LINE_COMMENT,'// Arrays',1,632)
LexToken(ID,'$miArray',1,642)
LexToken(ASSIGMENT_OP,'=',1,651)
LexToken(ARRAY,'array',1,653)
LexToken(DELIMITER,'(',1,658)
LexToken(STRING,'"manzana"',1,659)
LexToken(COMMA,',',1,668)
LexToken(STRING,'"banana"',1,670)
LexToken(COMMA,',',1,678)
LexToken(STRING,'"naranja"',1,680)
LexToken(DELIMITER,')',1,689)
LexToken(DELIMITER,';',1,690)
LexToken(ECHO,'echo',1,692)
LexToken(STRING,'"El segundo elemento del array es: "',1,697)
Carácter inesperado '.' en la linea 1, columna 734
LexToken(ID,'$miArray',1,736)
LexToken(DELIMITER,'[',1,744)
LexToken(INTEGER,1,1,745)
LexToken(DELIMITER,']',1,746)
LexToken(DELIMITER,';',1,747)
LexToken(ONE_LINE_COMMENT,'// Funciones',1,749)
LexToken(FUNCTION,'function',1,762)
LexToken(NAME,'miFuncion',1,771)
LexToken(DELIMITER,'(',1,780)
LexToken(ID,'$parametro1',1,781)
LexToken(COMMA,',',1,792)
LexToken(ID,'$parametro2',1,794)
LexToken(DELIMITER,')',1,805)
LexToken(DELIMITER,'{',1,807)
LexToken(RETURN,'return',1,810)
LexToken(ID,'$parametro1',1,817)
LexToken(TIMES,'*',1,829)
LexToken(ID,'$parametro2',1,831)
LexToken(DELIMITER,';',1,842)
LexToken(DELIMITER,'}',1,844)
LexToken(ECHO,'echo',1,846)
LexToken(STRING,'"El resultado de la función es: "',1,851)
Carácter inesperado '.' en la linea 1, columna 885
LexToken(NAME,'miFuncion',1,887)
LexToken(DELIMITER,'(',1,896)
LexToken(INTEGER,2,1,897)
LexToken(COMMA,',',1,898)
LexToken(INTEGER,3,1,900)
LexToken(DELIMITER,')',1,901)
LexToken(DELIMITER,';',1,902)
LexToken(PHP_CLOSE_TAG,'?>',1,904)
