LexToken(OPEN_TAG,'<?php',1,1)
LexToken(ONE_LINE_COMMENT,'// Impresión con cero, uno o más argumentos',1,8)
LexToken(ECHO,'echo',1,52)
LexToken(STRING,'"Hello, World!\n"',1,57)
LexToken(SEMICOLON,';',1,73)
LexToken(ONE_LINE_COMMENT,'// Solicitud de datos por teclado',1,76)
LexToken(ECHO,'echo',1,110)
LexToken(STRING,'"Enter two numbers: "',1,115)
LexToken(SEMICOLON,';',1,136)
LexToken(FSCANF,'fscanf',1,138)
LexToken(LEFT_PAREN,'(',1,144)
LexToken(STDIN,'STDIN',1,145)
LexToken(COMMA,',',1,150)
LexToken(STRING,'"%d %d"',1,152)
LexToken(COMMA,',',1,159)
LexToken(ID,'$var1',1,161)
LexToken(COMMA,',',1,166)
LexToken(ID,'$var2',1,168)
LexToken(RIGHT_PAREN,')',1,173)
LexToken(SEMICOLON,';',1,174)
LexToken(ECHO,'echo',1,176)
LexToken(STRING,'"You entered: $var1 and $var2\n"',1,181)
LexToken(SEMICOLON,';',1,212)
LexToken(ONE_LINE_COMMENT,'// Expresiones aritméticas con uno o más operadores',1,215)
LexToken(ID,'$a',1,267)
LexToken(EQUALS,'=',1,270)
LexToken(LEFT_PAREN,'(',1,272)
LexToken(INTEGER,10,1,273)
LexToken(PLUS,'+',1,276)
LexToken(INTEGER,5,1,278)
LexToken(RIGHT_PAREN,')',1,279)
LexToken(SEMICOLON,';',1,280)
LexToken(ID,'$b',1,282)
LexToken(EQUALS,'=',1,285)
LexToken(LEFT_PAREN,'(',1,287)
LexToken(INTEGER,20,1,288)
LexToken(MINUS,'-',1,291)
LexToken(INTEGER,3,1,293)
LexToken(RIGHT_PAREN,')',1,294)
LexToken(TIMES,'*',1,296)
LexToken(INTEGER,2,1,298)
LexToken(DIVIDE,'/',1,300)
LexToken(INTEGER,4,1,302)
LexToken(SEMICOLON,';',1,303)
LexToken(ID,'$c',1,305)
LexToken(EQUALS,'=',1,308)
LexToken(ID,'$a',1,310)
LexToken(PLUS,'+',1,313)
LexToken(ID,'$b',1,315)
LexToken(MINUS,'-',1,318)
LexToken(INTEGER,15,1,320)
LexToken(SEMICOLON,';',1,322)
LexToken(ONE_LINE_COMMENT,'// Condiciones con uno o más conectores',1,325)
LexToken(IF,'if',1,365)
LexToken(LEFT_PAREN,'(',1,368)
LexToken(ID,'$a',1,369)
LexToken(GREATER_THAN,'>',1,372)
LexToken(INTEGER,10,1,374)
LexToken(LOGICAL_AND,'&&',1,377)
LexToken(ID,'$b',1,380)
LexToken(LESS_THAN,'<',1,383)
LexToken(INTEGER,20,1,385)
LexToken(RIGHT_PAREN,')',1,387)
LexToken(LEFT_BRACE,'{',1,389)
LexToken(ID,'$c',1,395)
LexToken(EQUALS,'=',1,398)
LexToken(ID,'$a',1,400)
LexToken(PLUS,'+',1,403)
LexToken(ID,'$b',1,405)
LexToken(SEMICOLON,';',1,407)
LexToken(RIGHT_BRACE,'}',1,409)
LexToken(ELSE,'else',1,411)
LexToken(LEFT_BRACE,'{',1,416)
LexToken(ID,'$c',1,422)
LexToken(EQUALS,'=',1,425)
LexToken(ID,'$a',1,427)
LexToken(MINUS,'-',1,430)
LexToken(ID,'$b',1,432)
LexToken(SEMICOLON,';',1,434)
LexToken(RIGHT_BRACE,'}',1,436)
LexToken(ONE_LINE_COMMENT,'// Definición de variables de todos los tipos y almacenamiento de resultados',1,439)
LexToken(ID,'$str',1,516)
LexToken(EQUALS,'=',1,521)
LexToken(STRING,'"Hello, "',1,523)
LexToken(SEMICOLON,';',1,532)
LexToken(ID,'$name',1,534)
LexToken(EQUALS,'=',1,540)
LexToken(STRING,'"John"',1,542)
LexToken(SEMICOLON,';',1,548)
LexToken(ID,'$number',1,551)
LexToken(EQUALS,'=',1,559)
LexToken(INTEGER,42,1,561)
LexToken(SEMICOLON,';',1,563)
LexToken(ID,'$float',1,565)
LexToken(EQUALS,'=',1,572)
LexToken(FLOAT,3.14,1,574)
LexToken(SEMICOLON,';',1,578)
LexToken(ID,'$total',1,580)
LexToken(EQUALS,'=',1,587)
LexToken(ID,'$number',1,589)
LexToken(PLUS,'+',1,597)
LexToken(ID,'$float',1,599)
LexToken(SEMICOLON,';',1,605)
LexToken(ONE_LINE_COMMENT,'// Declaración de estructuras de datos (Arrays)',1,608)
LexToken(ID,'$array',1,656)
LexToken(EQUALS,'=',1,663)
LexToken(ARRAY,'array',1,665)
LexToken(LEFT_PAREN,'(',1,670)
LexToken(INTEGER,1,1,671)
LexToken(COMMA,',',1,672)
LexToken(INTEGER,2,1,674)
LexToken(COMMA,',',1,675)
LexToken(INTEGER,3,1,677)
LexToken(COMMA,',',1,678)
LexToken(INTEGER,4,1,680)
LexToken(COMMA,',',1,681)
LexToken(INTEGER,5,1,683)
LexToken(RIGHT_PAREN,')',1,684)
LexToken(SEMICOLON,';',1,685)
LexToken(ONE_LINE_COMMENT,'//DECLARACION DE FUNCIONES',1,688)
LexToken(FUNCTION,'function',1,715)
LexToken(NAME,'saludar',1,724)
LexToken(LEFT_PAREN,'(',1,731)
LexToken(ID,'$nombre',1,732)
LexToken(RIGHT_PAREN,')',1,739)
LexToken(LEFT_BRACE,'{',1,741)
LexToken(RETURN,'return',1,750)
LexToken(STRING,'"¡Hola, $nombre!"',1,757)
LexToken(SEMICOLON,';',1,774)
LexToken(RIGHT_BRACE,'}',1,776)
LexToken(CLOSE_TAG,'?>',1,779)
