LexToken(OPEN_TAG,'<?php',1,0)
LexToken(ID,'$var1',1,6)
LexToken(PLUS,'+',1,12)
LexToken(INTEGER,1,1,14)
LexToken(SEMICOLON,';',1,15)
LexToken(ID,'$var2',1,17)
LexToken(EQUALS,'=',1,23)
LexToken(STRING,'"Hola"',1,25)
LexToken(SEMICOLON,';',1,31)
LexToken(ID,'$var2',1,33)
LexToken(PLUS_EQUALS,'+=',1,39)
LexToken(INTEGER,2,1,42)
LexToken(SEMICOLON,';',1,43)
LexToken(ID,'$var2',1,45)
LexToken(PLUS_EQUALS,'+=',1,51)
LexToken(STRING,'"mundo"',1,54)
LexToken(SEMICOLON,';',1,61)
LexToken(ID,'$var2',1,63)
LexToken(PLUS_PLUS,'++',1,68)
LexToken(SEMICOLON,';',1,70)
LexToken(STRING,'"cadena"',1,72)
LexToken(PLUS,'+',1,81)
LexToken(INTEGER,3,1,83)
LexToken(SEMICOLON,';',1,84)
LexToken(ID,'$var2',1,86)
LexToken(LEFT_BRACKET,'[',1,91)
LexToken(INTEGER,1,1,92)
LexToken(RIGHT_BRACKET,']',1,93)
LexToken(SEMICOLON,';',1,94)
LexToken(ID,'$var2',1,96)
LexToken(LEFT_BRACKET,'[',1,101)
LexToken(RIGHT_BRACKET,']',1,102)
LexToken(EQUALS,'=',1,104)
LexToken(INTEGER,6,1,106)
LexToken(SEMICOLON,';',1,107)
LexToken(ID,'$var2',1,109)
LexToken(LEFT_BRACKET,'[',1,114)
LexToken(INTEGER,1,1,115)
LexToken(RIGHT_BRACKET,']',1,116)
LexToken(EQUALS,'=',1,118)
LexToken(INTEGER,7,1,120)
LexToken(SEMICOLON,';',1,121)
LexToken(UNSET,'unset',1,123)
LexToken(LEFT_PAREN,'(',1,128)
LexToken(ID,'$var2',1,129)
LexToken(LEFT_BRACKET,'[',1,134)
LexToken(INTEGER,1,1,135)
LexToken(RIGHT_BRACKET,']',1,136)
LexToken(RIGHT_PAREN,')',1,137)
LexToken(SEMICOLON,';',1,138)
LexToken(COUNT,'count',1,140)
LexToken(LEFT_PAREN,'(',1,145)
LexToken(ID,'$var2',1,146)
LexToken(RIGHT_PAREN,')',1,151)
LexToken(SEMICOLON,';',1,152)
LexToken(ECHO,'echo',1,154)
LexToken(NAME,'saludar',1,159)
LexToken(LEFT_PAREN,'(',1,166)
LexToken(RIGHT_PAREN,')',1,167)
LexToken(SEMICOLON,';',1,168)
LexToken(FUNCTION,'function',1,170)
LexToken(NAME,'saludar',1,179)
LexToken(LEFT_PAREN,'(',1,186)
LexToken(RIGHT_PAREN,')',1,187)
LexToken(LEFT_BRACE,'{',1,189)
LexToken(RETURN,'return',1,195)
LexToken(STRING,'"Hola"',1,202)
LexToken(SEMICOLON,';',1,208)
LexToken(RIGHT_BRACE,'}',1,210)
LexToken(FUNCTION,'function',1,212)
LexToken(NAME,'saludar',1,221)
LexToken(LEFT_PAREN,'(',1,228)
LexToken(RIGHT_PAREN,')',1,229)
LexToken(LEFT_BRACE,'{',1,231)
LexToken(RETURN,'return',1,237)
LexToken(STRING,'"Hola mundo"',1,244)
LexToken(SEMICOLON,';',1,256)
LexToken(RIGHT_BRACE,'}',1,258)
LexToken(ECHO,'echo',1,260)
LexToken(NAME,'saludar',1,265)
LexToken(LEFT_PAREN,'(',1,272)
LexToken(INTEGER,5,1,273)
LexToken(RIGHT_PAREN,')',1,274)
LexToken(SEMICOLON,';',1,275)
LexToken(ID,'$lista',1,277)
LexToken(EQUALS,'=',1,284)
LexToken(ARRAY,'array',1,286)
LexToken(LEFT_PAREN,'(',1,291)
LexToken(STRING,'"1"',1,292)
LexToken(KEY_VALUE,'=>',1,296)
LexToken(INTEGER,2,1,299)
LexToken(COMMA,',',1,300)
LexToken(INTEGER,2,1,302)
LexToken(COMMA,',',1,303)
LexToken(INTEGER,3,1,305)
LexToken(RIGHT_PAREN,')',1,306)
LexToken(SEMICOLON,';',1,307)
LexToken(ID,'$lista',1,309)
LexToken(LEFT_BRACKET,'[',1,315)
LexToken(STRING,'"hola"',1,316)
LexToken(RIGHT_BRACKET,']',1,322)
LexToken(SEMICOLON,';',1,323)
LexToken(ID,'$lista',1,325)
LexToken(LEFT_BRACKET,'[',1,331)
LexToken(INTEGER,3,1,332)
LexToken(RIGHT_BRACKET,']',1,333)
LexToken(SEMICOLON,';',1,334)
LexToken(CLOSE_TAG,'?>',1,336)
